threshold_db	duration	silence_start	silence_end	midpoint
-24	0.10	236.496000	236.624900	236.560450
-24	0.10	237.791000	237.892300	237.841650
-24	0.10	239.095000	241.751100	240.423050
-28	0.02	199.281840	199.315780	199.298810
-28	0.02	199.539800	199.627910	199.583855
-28	0.02	199.901700	199.955460	199.928580
-28	0.02	200.218070	200.270750	200.244410
-28	0.02	200.974130	202.371520	201.672825
-28	0.02	202.698530	202.785620	202.742075
-28	0.02	203.385330	203.451610	203.418470
-28	0.02	205.806600	206.133300	205.969950
-28	0.02	206.272700	206.292900	206.282800
-28	0.02	206.306900	206.337300	206.322100
-28	0.02	206.564900	206.625200	206.595050
-28	0.02	207.772100	208.099800	207.935950
-28	0.02	209.942100	210.272200	210.107150
-28	0.02	210.679200	210.728400	210.703800
-28	0.02	210.732400	210.767400	210.749900
-28	0.02	211.076000	211.299700	211.187850
-28	0.02	211.441000	211.492800	211.466900
-28	0.02	212.508000	212.587500	212.547750
-28	0.02	212.830600	212.857000	212.843800
-28	0.02	213.222400	213.258200	213.240300
-28	0.02	213.258200	213.281800	213.270000
-28	0.02	213.652300	213.695800	213.674050
-28	0.02	213.695800	213.734000	213.714900
-28	0.02	214.009500	214.046700	214.028100
-28	0.02	214.060900	214.094900	214.077900
-28	0.02	214.374100	214.760600	214.567350
-28	0.02	215.408500	215.430300	215.419400
-28	0.02	216.084600	216.357300	216.220950
-28	0.02	216.696200	216.844100	216.770150
-28	0.02	217.203500	217.271000	217.237250
-28	0.02	217.921600	219.193200	218.557400
-28	0.02	219.498300	219.520200	219.509250
-28	0.02	219.522500	219.552300	219.537400
-28	0.02	219.703300	219.821400	219.762350
-28	0.02	220.185200	220.214000	220.199600
-28	0.02	220.748700	220.792200	220.770450
-28	0.02	221.439300	221.547400	221.493350
-28	0.02	222.159300	222.179500	222.169400
-28	0.02	222.820900	223.267500	223.044200
-28	0.02	224.174300	224.200200	224.187250
-28	0.02	225.073700	225.635400	225.354550
-28	0.02	227.291900	227.604000	227.447950
-28	0.02	228.093100	228.122400	228.107750
-28	0.02	228.122600	228.163300	228.142950
-28	0.02	228.748700	228.776900	228.762800
-28	0.02	229.448300	229.491700	229.470000
-28	0.02	229.496400	229.551300	229.523850
-28	0.02	230.972300	231.087800	231.030050
-28	0.02	231.104200	231.525600	231.314900
-28	0.02	232.057200	232.107500	232.082350
-28	0.02	233.613900	233.687300	233.650600
-28	0.02	234.255300	234.301100	234.278200
-28	0.02	234.729500	234.781400	234.755450
-28	0.02	234.781700	234.813400	234.797550
-28	0.02	235.048600	235.553600	235.301100
-28	0.02	235.721200	235.746300	235.733750
-28	0.02	236.313900	236.362100	236.338000
-28	0.02	236.510200	236.621600	236.565900
-28	0.02	237.209400	237.248200	237.228800
-28	0.02	237.792600	237.847100	237.819850
-28	0.02	237.851500	237.892000	237.871750
-28	0.02	239.109400	241.751000	240.430200
-28	0.04	199.539800	199.627910	199.583855
-28	0.04	199.901700	199.955460	199.928580
-28	0.04	200.218070	200.270750	200.244410
-28	0.04	200.974130	202.371520	201.672825
-28	0.04	202.698530	202.785620	202.742075
-28	0.04	203.385330	203.451610	203.418470
-28	0.04	205.806600	206.133300	205.969950
-28	0.04	206.564900	206.625200	206.595050
-28	0.04	207.772100	208.099800	207.935950
-28	0.04	209.942100	210.272200	210.107150
-28	0.04	210.679200	210.728400	210.703800
-28	0.04	211.076000	211.299700	211.187850
-28	0.04	211.441000	211.492800	211.466900
-28	0.04	212.508000	212.587500	212.547750
-28	0.04	213.652300	213.695800	213.674050
-28	0.04	214.374100	214.760600	214.567350
-28	0.04	216.084600	216.357300	216.220950
-28	0.04	216.696200	216.844100	216.770150
-28	0.04	217.203500	217.271000	217.237250
-28	0.04	217.921600	219.193200	218.557400
-28	0.04	219.703300	219.821400	219.762350
-28	0.04	220.748700	220.792200	220.770450
-28	0.04	221.439300	221.547400	221.493350
-28	0.04	222.820900	223.267500	223.044200
-28	0.04	225.073700	225.635400	225.354550
-28	0.04	227.291900	227.604000	227.447950
-28	0.04	228.122600	228.163300	228.142950
-28	0.04	229.448300	229.491700	229.470000
-28	0.04	229.496400	229.551300	229.523850
-28	0.04	230.972300	231.087800	231.030050
-28	0.04	231.104200	231.525600	231.314900
-28	0.04	232.057200	232.107500	232.082350
-28	0.04	233.613900	233.687300	233.650600
-28	0.04	234.255300	234.301100	234.278200
-28	0.04	234.729500	234.781400	234.755450
-28	0.04	235.048600	235.553600	235.301100
-28	0.04	236.313900	236.362100	236.338000
-28	0.04	236.510200	236.621600	236.565900
-28	0.04	237.792600	237.847100	237.819850
-28	0.04	237.851500	237.892000	237.871750
-28	0.04	239.109400	241.751000	240.430200
-28	0.06	199.539800	199.627910	199.583855
-28	0.06	200.974130	202.371520	201.672825
-28	0.06	202.698530	202.785620	202.742075
-28	0.06	203.385330	203.451610	203.418470
-28	0.06	205.806600	206.133300	205.969950
-28	0.06	206.564900	206.625200	206.595050
-28	0.06	207.772100	208.099800	207.935950
-28	0.06	209.942100	210.272200	210.107150
-28	0.06	211.076000	211.299700	211.187850
-28	0.06	212.508000	212.587500	212.547750
-28	0.06	214.374100	214.760600	214.567350
-28	0.06	216.084600	216.357300	216.220950
-28	0.06	216.696200	216.844100	216.770150
-28	0.06	217.203500	217.271000	217.237250
-28	0.06	217.921600	219.193200	218.557400
-28	0.06	219.703300	219.821400	219.762350
-28	0.06	221.439300	221.547400	221.493350
-28	0.06	222.820900	223.267500	223.044200
-28	0.06	225.073700	225.635400	225.354550
-28	0.06	227.291900	227.604000	227.447950
-28	0.06	230.972300	231.087800	231.030050
-28	0.06	231.104200	231.525600	231.314900
-28	0.06	233.613900	233.687300	233.650600
-28	0.06	235.048600	235.553600	235.301100
-28	0.06	236.510200	236.621600	236.565900
-28	0.06	239.109400	241.751000	240.430200
